City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
178,Narasannapeta,IN,2022-05-01 11:27:49,18.4167,84.05,87.8,66,29,10.38
179,Nome,US,2022-05-01 11:31:24,64.5011,-165.4064,39.27,66,0,18.41
180,Sarangani,PH,2022-05-01 11:31:25,5.4033,125.4636,82.62,74,100,10.98
181,Mercedes,AR,2022-05-01 11:31:26,-34.6515,-59.4307,47.86,56,1,5.88
182,Cayenne,GF,2022-05-01 11:31:29,4.9333,-52.3333,82.09,1,75,8.01
183,Portel,BR,2022-05-01 11:31:30,-1.9356,-50.8211,74.71,97,99,2.89
184,Hay River,CA,2022-05-01 11:31:31,60.8156,-115.7999,22.98,93,20,3.44
185,Pundaguitan,PH,2022-05-01 11:31:32,6.3711,126.1689,81.43,79,99,9.06
186,Necochea,AR,2022-05-01 11:27:00,-38.5473,-58.7368,53.19,70,28,13.2
187,Aklavik,CA,2022-05-01 11:31:33,68.2191,-135.0107,31.03,95,100,7.34
188,Kijang,KR,2022-05-01 11:32:34,35.2442,129.2139,58.73,56,22,9.64
189,Yamada,JP,2022-05-01 11:32:35,39.4667,141.95,46.87,98,100,2.98
190,Mareeba,AU,2022-05-01 11:32:36,-17.0,145.4333,69.44,92,92,2.26
191,Natal,BR,2022-05-01 11:32:37,-5.795,-35.2094,82.62,78,40,11.5
192,Semnan,IR,2022-05-01 11:32:38,35.5729,53.3971,71.44,49,75,6.91
193,Shache,CN,2022-05-01 11:32:39,38.4167,77.2406,77.83,9,0,8.84
194,Toora-Khem,RU,2022-05-01 11:32:40,52.4675,96.11,63.64,33,88,0.85
195,San Ignacio,BZ,2022-05-01 11:32:41,17.1561,-89.0714,73.54,100,0,0.0
196,Panaba,MX,2022-05-01 11:32:42,21.2833,-88.2667,72.16,91,1,6.53
197,Atlantic Beach,US,2022-05-01 11:32:43,30.3344,-81.3987,68.02,95,0,3.44
198,Ilulissat,GL,2022-05-01 11:32:45,69.2167,-51.1,21.22,42,0,0.0
199,Santa Maria,BR,2022-05-01 11:32:46,-29.6842,-53.8069,60.1,94,75,3.44
200,Sept-Iles,CA,2022-05-01 11:32:47,50.2001,-66.3821,39.06,66,75,13.8
201,Presidente Medici,BR,2022-05-01 11:32:48,-11.1753,-61.9014,74.66,90,98,1.57
202,Porto Santo,PT,2022-05-01 11:32:49,33.072,-16.3415,70.18,68,20,13.8
203,Cockburn Town,TC,2022-05-01 11:32:51,21.4612,-71.1419,76.96,69,40,16.11
204,Vila Franca Do Campo,PT,2022-05-01 11:32:52,37.7167,-25.4333,69.19,66,0,1.03
205,Port Hedland,AU,2022-05-01 11:32:53,-20.3167,118.5667,82.45,47,96,8.05
206,Bintulu,MY,2022-05-01 11:29:16,3.1667,113.0333,84.61,79,20,2.3
207,Singaraja,ID,2022-05-01 11:32:54,-8.112,115.0882,82.18,81,87,7.05
208,Redmond,US,2022-05-01 11:32:55,47.674,-122.1215,49.33,88,16,1.99
209,Raga,SS,2022-05-01 11:32:56,8.4596,25.678,105.33,14,100,5.06
210,Boralday,KZ,2022-05-01 11:32:57,43.3578,76.8594,84.06,23,40,6.71
211,Korla,CN,2022-05-01 11:32:58,41.7597,86.1469,70.52,15,88,11.43
212,Saldanha,ZA,2022-05-01 11:32:59,-33.0117,17.9442,78.85,67,3,12.66
213,Cabo San Lucas,MX,2022-05-01 11:33:00,22.8909,-109.9124,71.51,58,25,11.34
214,Salalah,OM,2022-05-01 11:33:01,17.0151,54.0924,91.49,70,20,13.8
215,Lompoc,US,2022-05-01 11:33:02,34.6391,-120.4579,52.79,85,100,31.0
216,Panzos,GT,2022-05-01 11:33:03,15.4,-89.6667,74.19,98,94,1.1
217,Zhezkazgan,KZ,2022-05-01 11:33:04,47.8043,67.7144,80.58,21,0,15.66
218,Rocha,UY,2022-05-01 11:33:05,-34.4833,-54.3333,54.36,81,48,7.52
219,Safaga,EG,2022-05-01 11:33:06,26.7292,33.9365,84.61,36,0,22.62
220,Birjand,IR,2022-05-01 11:33:07,32.8663,59.2211,84.67,20,40,21.85
221,Plouzane,FR,2022-05-01 11:33:08,48.3833,-4.6167,62.92,59,0,4.61
222,Ibirataia,BR,2022-05-01 11:33:09,-14.0669,-39.6406,75.22,82,88,2.73
223,Aloleng,PH,2022-05-01 11:33:10,16.1307,119.7824,82.47,78,77,6.33
224,Tiksi,RU,2022-05-01 11:33:11,71.6872,128.8694,22.82,94,89,9.28
225,Miri,MY,2022-05-01 11:28:43,4.4148,114.0089,84.34,84,40,5.75
226,Kalmunai,LK,2022-05-01 11:33:12,7.4167,81.8167,84.42,76,98,10.78
227,Avera,US,2022-05-01 11:33:13,33.194,-82.5271,62.65,86,34,7.05
228,Olafsvik,IS,2022-05-01 11:33:16,64.8945,-23.7142,38.75,53,72,10.65
229,Kamiiso,JP,2022-05-01 11:33:17,41.8167,140.65,46.78,87,75,4.61
230,Saint-Augustin,CA,2022-05-01 11:33:18,51.226,-58.6502,34.97,83,100,24.2
231,Beringovskiy,RU,2022-05-01 11:33:18,63.05,179.3167,17.24,95,99,12.62
232,Qeshm,IR,2022-05-01 11:33:19,26.9581,56.2719,87.67,51,0,22.97
233,Xinye,CN,2022-05-01 11:33:20,32.5186,112.3522,61.84,46,97,6.02
234,La Ronge,CA,2022-05-01 11:33:21,55.1001,-105.2842,30.45,80,100,9.22
235,Provideniya,RU,2022-05-01 11:34:22,64.3833,-173.3,23.67,83,92,11.3
236,Maxixe,MZ,2022-05-01 11:34:23,-23.8597,35.3472,78.62,73,40,9.22
237,General Pico,AR,2022-05-01 11:34:24,-35.6566,-63.7568,46.26,56,3,7.43
238,Campobasso,IT,2022-05-01 11:34:25,41.6333,14.5833,69.82,42,85,6.67
239,Bredasdorp,ZA,2022-05-01 11:34:26,-34.5322,20.0403,72.63,40,3,5.61
240,Praia,CV,2022-05-01 11:34:27,14.9215,-23.5087,79.34,53,20,16.11
241,Flinders,AU,2022-05-01 11:34:28,-34.5833,150.8552,61.38,81,3,3.0
242,Inhambane,MZ,2022-05-01 11:34:29,-23.865,35.3833,78.78,73,40,9.22
243,Mahebourg,MU,2022-05-01 11:34:30,-20.4081,57.7,82.26,74,75,8.05
244,San Juan,AR,2022-05-01 11:34:31,-31.5375,-68.5364,54.45,44,0,4.99
245,Maasin,PH,2022-05-01 11:34:32,10.1336,124.8447,80.91,81,84,9.37
246,Shagamu,NG,2022-05-01 11:34:33,6.8432,3.6478,91.18,50,89,6.04
247,Crotone,IT,2022-05-01 11:34:35,39.0851,17.1178,70.2,37,0,9.22
