City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
250,Mpulungu,ZM,-8.7623,31.1141,77.38,69,94,2.06,Light Rain
251,Chuy,UY,-33.6971,-53.4616,62.02,54,100,10.58,Overcast Clouds
252,Razole,IN,16.4833,81.8333,81.57,87,76,4.07,Broken Clouds
253,Sao Filipe,CV,14.8961,-24.4956,74.1,74,2,7.74,Clear Sky
254,Nanortalik,GL,60.1432,-45.2371,35.44,93,100,5.44,Light Rain
255,Saint-Joseph,RE,-21.3667,55.6167,77.38,81,24,5.99,Few Clouds
256,Filingue,NE,14.3521,3.3168,107.83,6,90,7.23,Overcast Clouds
257,Katherine,AU,-14.4667,132.2667,73.72,53,7,6.91,Clear Sky
258,Craig,US,40.5153,-107.5464,42.75,81,100,9.22,Overcast Clouds
259,Kosh-Agach,RU,50,88.6667,47.46,58,100,8.46,Light Rain
260,Cedar City,US,37.6775,-113.0619,44.4,80,0,4.61,Clear Sky
261,Victoria,HK,22.2855,114.1577,69.33,77,100,8.01,Overcast Clouds
262,Cayenne,GF,4.9333,-52.3333,86.04,12,75,11.5,Broken Clouds
263,Banda Aceh,ID,5.5577,95.3222,81.12,81,100,14.12,Overcast Clouds
264,Yangambi,CD,0.8102,24.4336,82.47,54,100,1.63,Overcast Clouds
265,Saint Anthony,US,45.0205,-93.218,42.06,75,100,13.8,Overcast Clouds
266,Awjilah,LY,29.1081,21.2869,79.59,34,0,29.35,Clear Sky
267,Narsaq,GL,60.9167,-46.05,43.02,89,100,1.68,Light Rain
268,Mandalgovi,MN,45.7625,106.2708,61.54,12,0,12.64,Clear Sky
269,Yeppoon,AU,-23.1333,150.7333,69.58,85,93,15.75,Overcast Clouds
270,Hervey Bay,AU,-25.2986,152.8535,67.01,94,100,1.01,Overcast Clouds
271,Port Hardy,CA,50.6996,-127.4199,46.58,93,100,6.91,Overcast Clouds
272,East London,ZA,-33.0153,27.9116,70.74,78,0,11.5,Clear Sky
273,Saint-Francois,FR,46.4154,3.9054,70.68,42,0,4.61,Clear Sky
274,Itoman,JP,26.1247,127.6694,64.42,82,100,8.05,Light Rain
275,Irece,BR,-11.3042,-41.8558,83.73,39,88,8.46,Overcast Clouds
276,Jalu,LY,29.0331,21.5482,81,32,0,29.28,Clear Sky
277,Omagh,GB,54.6,-7.3,57.33,75,100,2.71,Overcast Clouds
278,Mukhtolovo,RU,55.4644,43.1953,49.12,73,100,9.19,Overcast Clouds
279,Tazovskiy,RU,67.4667,78.7,12.85,93,25,2.62,Scattered Clouds
280,Kupang,ID,-10.1667,123.5833,79.52,80,25,9.44,Scattered Clouds
281,Cabo San Lucas,MX,22.8909,-109.9124,71.51,53,61,12.28,Broken Clouds
282,Kyra,RU,49.5776,111.9753,57.76,32,100,4.16,Overcast Clouds
283,Shimoda,JP,34.6667,138.95,53.1,63,83,18.43,Broken Clouds
284,Biala Podlaska,PL,52.0324,23.1165,60.51,54,87,5.39,Overcast Clouds
285,Sao Joao Da Barra,BR,-21.6403,-41.0511,87.89,55,0,6.82,Clear Sky
286,San Policarpo,PH,12.1791,125.5072,80.53,77,100,8.16,Overcast Clouds
287,Pasighat,IN,28.0667,95.3333,75.76,76,100,4.14,Overcast Clouds
288,Techiman,GH,7.5862,-1.9414,94.62,37,100,2.82,Overcast Clouds
289,Jatai,BR,-17.8814,-51.7144,83.34,33,4,4.79,Clear Sky
290,Khandyga,RU,62.6667,135.6,32.49,84,99,5.39,Overcast Clouds
291,Kentau,KZ,43.5206,68.5094,73.94,49,100,15.12,Light Rain
292,Camana,PE,-16.6228,-72.7111,67.35,76,61,5.48,Broken Clouds
293,Mbini,GQ,1.574,9.6134,76.5,93,100,4.72,Moderate Rain
294,Codrington,AU,-38.2667,141.9667,55.47,78,37,9.51,Scattered Clouds
295,Chumikan,RU,54.7183,135.315,30.02,97,100,13.8,Light Snow
296,Birnin Kebbi,NG,12.4539,4.1975,107.42,8,16,4.47,Few Clouds
297,Poum,NC,-20.2333,164.0167,77.59,83,1,3.2,Clear Sky
298,Price,US,39.5994,-110.8107,49.26,57,0,9.22,Clear Sky
299,Dicamay,PH,16.7561,122.0037,73.33,90,50,3.15,Scattered Clouds
300,Ammon,US,43.4696,-111.9666,46.81,82,100,6.91,Overcast Clouds
301,Yar-Sale,RU,66.8333,70.8333,24.82,81,53,10.11,Broken Clouds
302,Ternate,ID,0.8,127.4,82.45,78,25,4.59,Scattered Clouds
303,Burnie,AU,-41.0667,145.9167,61.92,91,100,13.67,Overcast Clouds
304,Saldanha,ZA,-33.0117,17.9442,68.05,53,60,11.97,Broken Clouds
305,Aykhal,RU,66,111.5,18.86,93,16,8.97,Few Clouds
306,Puerto Quijarro,BO,-17.7833,-57.7667,91.92,34,55,4.97,Broken Clouds
307,Klaksvik,FO,62.2266,-6.589,41.92,62,98,13.65,Overcast Clouds
308,Itupiranga,BR,-5.1347,-49.3267,88.12,60,97,0.34,Overcast Clouds
309,Tezu,IN,27.9167,96.1667,74.39,75,98,4.56,Overcast Clouds
310,Orlik,RU,52.5178,99.825,49.3,53,100,6.11,Overcast Clouds
311,Krasavino,RU,60.9614,46.4814,45.21,55,97,8.61,Overcast Clouds
312,Henties Bay,NA,-22.116,14.2845,71.06,59,4,10.8,Clear Sky
313,Luderitz,NA,-26.6481,15.1594,77.76,33,0,3.18,Clear Sky
314,Samarai,PG,-10.6167,150.6667,81.54,78,32,7.85,Scattered Clouds
315,Bilma,NE,18.6853,12.9164,103.87,9,18,12.08,Few Clouds
316,Tangzhai,CN,34.4328,116.5911,64.94,32,20,4.12,Few Clouds
